air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,power_w,temp_diff_k,overstrain_value,hdf_risk,pwf_risk,osf_risk,tool_wear_ratio,risk_score,type_encoded,machine_failure
298.1,308.6,1551,42.8,0,6951.590560157351,10.5,0.0,0,0,0,0.0,0,2,0
298.2,308.7,1408,46.3,3,6826.722724152667,10.5,138.89999999999998,0,0,0,0.0125,0,1,0
298.1,308.5,1498,49.4,5,7749.387542560967,10.399999999999977,247.0,0,0,0,0.020833333333333332,0,1,0
298.2,308.6,1433,39.5,7,5927.504658915661,10.400000000000034,276.5,0,0,0,0.029166666666666667,0,1,0
298.2,308.7,1408,40.0,9,5897.816608339237,10.5,360.0,0,0,0,0.0375,0,1,0
298.1,308.6,1425,41.9,11,6252.554778807084,10.5,460.9,0,0,0,0.04583333333333333,0,2,0
298.1,308.6,1558,42.4,14,6917.703247400629,10.5,593.6,0,0,0,0.058333333333333334,0,1,0
298.1,308.6,1527,40.2,16,6428.264055922363,10.5,643.2,0,0,0,0.06666666666666667,0,1,0
298.3,308.7,1667,28.6,18,4992.639989035923,10.399999999999977,514.8000000000001,0,0,0,0.075,0,2,0
298.5,309.0,1741,28.0,21,5104.878622573175,10.5,588.0,0,0,0,0.0875,0,2,0
298.4,308.9,1782,23.9,24,4459.993426595285,10.5,573.5999999999999,0,0,0,0.1,0,0,0
298.6,309.1,1423,44.3,29,6601.41817101272,10.5,1284.6999999999998,0,0,0,0.12083333333333333,0,0,0
298.6,309.1,1339,51.1,34,7165.22933257697,10.5,1737.4,0,0,0,0.14166666666666666,0,2,0
298.6,309.2,1742,30.0,37,5472.6544025534195,10.599999999999966,1110.0,0,0,0,0.15416666666666667,0,2,0
298.6,309.2,2035,19.6,40,4176.85215270275,10.599999999999966,784.0,0,0,0,0.16666666666666666,0,1,0
298.6,309.2,1542,48.4,42,7815.528539894543,10.599999999999966,2032.8,0,0,0,0.175,0,1,0
298.6,309.2,1311,46.6,44,6397.602111623327,10.599999999999966,2050.4,0,0,0,0.18333333333333332,0,2,0
298.7,309.2,1410,45.6,47,6733.0613751736455,10.5,2143.2000000000003,0,0,0,0.19583333333333333,0,2,0
298.8,309.2,1306,54.5,50,7453.6380101520235,10.399999999999977,2725.0,0,0,0,0.20833333333333334,0,0,0
298.9,309.3,1632,32.5,55,5554.3358115467545,10.400000000000034,1787.5,0,0,0,0.22916666666666666,0,2,0
298.9,309.3,1375,42.7,58,6148.3586224630235,10.400000000000034,2476.6000000000004,0,0,0,0.24166666666666667,0,0,0
298.8,309.3,1450,44.8,63,6802.595292573099,10.5,2822.3999999999996,0,0,0,0.2625,0,1,0
298.9,309.3,1581,30.7,65,5082.7513383163905,10.400000000000034,1995.5,0,0,0,0.2708333333333333,0,2,0
299.0,309.4,1758,25.7,68,4731.3013681593,10.399999999999977,1747.6,0,0,0,0.2833333333333333,0,1,0
299.0,309.4,1561,37.3,70,6097.339157768725,10.399999999999977,2611.0,0,0,0,0.2916666666666667,0,2,0
299.0,309.5,1861,23.3,73,4540.784717670103,10.5,1700.9,0,0,0,0.30416666666666664,0,1,0
299.1,309.5,1512,39.0,75,6175.114519896098,10.399999999999977,2925.0,0,0,0,0.3125,0,1,0
299.1,309.4,1811,24.6,77,4665.327922433915,10.299999999999955,1894.2,0,0,0,0.32083333333333336,0,0,0
299.1,309.4,1439,44.2,82,6660.574360679816,10.299999999999955,3624.4,0,0,0,0.3416666666666667,0,1,0
299.0,309.4,1693,30.1,84,5336.445417069278,10.399999999999977,2528.4,0,0,0,0.35,0,1,0
299.1,309.5,1339,48.2,86,6758.592051471818,10.399999999999977,4145.2,0,0,0,0.35833333333333334,0,2,0
299.0,309.4,1798,25.5,89,4801.296052481282,10.399999999999977,2269.5,0,0,0,0.37083333333333335,0,1,0
299.0,309.4,1419,48.3,91,7177.251160464705,10.399999999999977,4395.3,0,0,0,0.37916666666666665,0,1,0
298.9,309.3,1665,32.5,93,5666.647748912589,10.400000000000034,3022.5,0,0,0,0.3875,0,1,0
298.8,309.1,1559,34.7,95,5665.056008634771,10.300000000000011,3296.5000000000005,0,0,0,0.3958333333333333,0,2,0
